strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,num_lumen,repeat_distance,lumen_width,lumen_width_heights,type,index,process
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.81333333333333,5,11.74,3.357142857142854,7650.0,lumen,0,171_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.81333333333333,5,14.56,3.699666295884313,7650.0,lumen,1,171_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.81333333333333,5,14.1,3.540372670807457,7650.0,lumen,2,171_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.81333333333333,5,14.91,4.235294117647058,7650.0,lumen,3,171_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.81333333333333,5,12.59,4.283882783882774,7140.0,lumen,4,171_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,135.64285714285714,8,14.83,4.681818181818183,7650.0,lumen,0,171_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,135.64285714285714,8,17.43,4.993728222996516,7650.0,lumen,1,171_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,135.64285714285714,8,18.43,5.1883116883116855,7650.0,lumen,2,171_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,135.64285714285714,8,17.0,4.400921658986178,5865.0,lumen,3,171_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,135.64285714285714,8,16.8,4.673992673992672,7650.0,lumen,4,171_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,135.64285714285714,8,16.91,4.649405772495754,7140.0,lumen,5,171_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,135.64285714285714,8,14.82,4.210810810810813,7650.0,lumen,6,171_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,135.64285714285714,8,13.0,5.653571428571411,11347.5,lumen,7,171_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,80.67481481481481,5,11.08,5.399999999999999,8032.5,lumen,0,171_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,80.67481481481481,5,15.12,4.466666666666669,7650.0,lumen,1,171_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,80.67481481481481,5,17.42,4.18181818181818,7650.0,lumen,2,171_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,80.67481481481481,5,16.96,3.5423076923076877,7012.5,lumen,3,171_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,80.67481481481481,5,14.03,2.6392473118279582,6502.5,lumen,4,171_otsuOffset
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,107.8409090909091,10,4.15,2.166666666666666,12240.0,lumen,0,171_otsuOffset
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,107.8409090909091,10,1.44,0.6666666666666661,11602.5,lumen,1,171_otsuOffset
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,107.8409090909091,10,14.1,5.302083333333332,13132.5,lumen,2,171_otsuOffset
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,107.8409090909091,10,16.28,5.1006289308176065,7650.0,lumen,3,171_otsuOffset
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,107.8409090909091,10,25.75,4.3547826086956505,7650.0,lumen,4,171_otsuOffset
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,107.8409090909091,10,0.0,4.103030303030309,2040.0,lumen,5,171_otsuOffset
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,107.8409090909091,10,22.68,3.851706970128035,5992.5,lumen,6,171_otsuOffset
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,107.8409090909091,10,13.93,7.32714285714286,10837.5,lumen,7,171_otsuOffset
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,107.8409090909091,10,1.5,0.5833333333333286,7777.5,lumen,8,171_otsuOffset
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,107.8409090909091,10,6.56,0.8333333333333286,12750.0,lumen,9,171_otsuOffset
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,109.09782608695653,8,11.52,3.085000000000001,7650.0,lumen,0,171_otsuOffset
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,109.09782608695653,8,14.16,3.9786628733997134,7650.0,lumen,1,171_otsuOffset
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,109.09782608695653,8,14.06,4.198924731182792,7650.0,lumen,2,171_otsuOffset
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,109.09782608695653,8,14.07,3.9976470588235316,7650.0,lumen,3,171_otsuOffset
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,109.09782608695653,8,13.0,3.212413793103451,6120.0,lumen,4,171_otsuOffset
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,109.09782608695653,8,12.07,2.441558441558442,5100.0,lumen,5,171_otsuOffset
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,109.09782608695653,8,13.33,3.200000000000003,7650.0,lumen,6,171_otsuOffset
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,109.09782608695653,8,10.8,3.1145833333333286,6757.5,lumen,7,171_otsuOffset
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,89.5262321144674,6,12.0,3.2894736842105274,7650.0,lumen,0,171_otsuOffset
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,89.5262321144674,6,14.56,3.7333333333333343,7650.0,lumen,1,171_otsuOffset
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,89.5262321144674,6,13.91,3.3729543496985386,7650.0,lumen,2,171_otsuOffset
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,89.5262321144674,6,14.37,3.667953667953668,7650.0,lumen,3,171_otsuOffset
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,89.5262321144674,6,15.2,4.3125,7650.0,lumen,4,171_otsuOffset
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,89.5262321144674,6,13.18,4.4726166328600385,7650.0,lumen,5,171_otsuOffset
187,output\trial_1\rois\strip_187.png,0.88,1.1363636363636365,500,440,81.45059288537549,5,13.07,3.430769230769233,7650.0,lumen,0,171_otsuOffset
187,output\trial_1\rois\strip_187.png,0.88,1.1363636363636365,500,440,81.45059288537549,5,16.66,4.964673913043477,7650.0,lumen,1,171_otsuOffset
187,output\trial_1\rois\strip_187.png,0.88,1.1363636363636365,500,440,81.45059288537549,5,15.35,3.7435897435897445,7650.0,lumen,2,171_otsuOffset
187,output\trial_1\rois\strip_187.png,0.88,1.1363636363636365,500,440,81.45059288537549,5,16.25,5.051036682615617,7140.0,lumen,3,171_otsuOffset
187,output\trial_1\rois\strip_187.png,0.88,1.1363636363636365,500,440,81.45059288537549,5,12.8,3.727564102564102,7650.0,lumen,4,171_otsuOffset
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,123.19056261343013,7,14.82,4.964743589743591,7650.0,lumen,0,171_otsuOffset
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,123.19056261343013,7,18.83,6.585526315789473,7650.0,lumen,1,171_otsuOffset
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,123.19056261343013,7,16.96,4.650909090909096,7650.0,lumen,2,171_otsuOffset
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,123.19056261343013,7,17.48,4.874141876430201,7650.0,lumen,3,171_otsuOffset
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,123.19056261343013,7,16.15,3.46953781512606,7012.5,lumen,4,171_otsuOffset
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,123.19056261343013,7,17.95,5.508235294117654,7650.0,lumen,5,171_otsuOffset
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,123.19056261343013,7,13.33,3.697580645161281,6630.0,lumen,6,171_otsuOffset
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,166.6207513416816,11,12.32,4.549836601307192,5482.5,lumen,0,171_otsuOffset
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,166.6207513416816,11,15.36,5.071542130365657,7650.0,lumen,1,171_otsuOffset
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,166.6207513416816,11,14.38,4.088235294117652,7650.0,lumen,2,171_otsuOffset
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,166.6207513416816,11,15.58,5.357142857142847,7650.0,lumen,3,171_otsuOffset
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,166.6207513416816,11,15.4,4.639473684210515,7650.0,lumen,4,171_otsuOffset
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,166.6207513416816,11,13.63,3.1077586206896513,7650.0,lumen,5,171_otsuOffset
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,166.6207513416816,11,15.61,5.299999999999997,7650.0,lumen,6,171_otsuOffset
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,166.6207513416816,11,14.42,4.221221221221214,6630.0,lumen,7,171_otsuOffset
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,166.6207513416816,11,14.94,4.801075268817215,7650.0,lumen,8,171_otsuOffset
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,166.6207513416816,11,15.72,5.580357142857139,6757.5,lumen,9,171_otsuOffset
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,166.6207513416816,11,12.03,3.729166666666657,6630.0,lumen,10,171_otsuOffset
