,method,morph_key,equalize,blur,thresh,maxval,blocksize,c,morph_args,offset,key
87_trunc,trunc,closeOpen,False,False,80,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,87_trunc
88_trunc,trunc,closeOpen,False,False,90,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,88_trunc
89_trunc,trunc,closeOpen,False,False,90,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,89_trunc
90_trunc,trunc,closeOpen,False,False,100,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,90_trunc
91_trunc,trunc,closeOpen,False,False,100,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,91_trunc
92_trunc,trunc,closeOpen,False,False,110,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,92_trunc
93_trunc,trunc,closeOpen,False,False,110,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,93_trunc
94_trunc,trunc,closeOpen,False,False,120,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,94_trunc
95_trunc,trunc,closeOpen,False,False,120,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,95_trunc
96_tozero,tozero,closeOpen,True,True,70,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,96_tozero
97_tozero,tozero,closeOpen,True,True,70,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,97_tozero
98_tozero,tozero,closeOpen,True,True,80,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,98_tozero
99_tozero,tozero,closeOpen,True,True,80,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,99_tozero
100_tozero,tozero,closeOpen,True,True,90,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,100_tozero
101_tozero,tozero,closeOpen,True,True,90,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,101_tozero
102_tozero,tozero,closeOpen,True,True,100,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,102_tozero
103_tozero,tozero,closeOpen,True,True,100,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,103_tozero
104_tozero,tozero,closeOpen,True,True,110,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,104_tozero
105_tozero,tozero,closeOpen,True,True,110,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,105_tozero
106_tozero,tozero,closeOpen,True,True,120,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,106_tozero
107_tozero,tozero,closeOpen,True,True,120,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,107_tozero
108_tozero,tozero,closeOpen,True,False,70,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,108_tozero
109_tozero,tozero,closeOpen,True,False,70,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,109_tozero
110_tozero,tozero,closeOpen,True,False,80,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,110_tozero
111_tozero,tozero,closeOpen,True,False,80,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,111_tozero
112_tozero,tozero,closeOpen,True,False,90,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,112_tozero
113_tozero,tozero,closeOpen,True,False,90,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,113_tozero
114_tozero,tozero,closeOpen,True,False,100,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,114_tozero
115_tozero,tozero,closeOpen,True,False,100,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,115_tozero
116_tozero,tozero,closeOpen,True,False,110,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,116_tozero
117_tozero,tozero,closeOpen,True,False,110,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,117_tozero
118_tozero,tozero,closeOpen,True,False,120,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,118_tozero
119_tozero,tozero,closeOpen,True,False,120,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,119_tozero
120_tozero,tozero,closeOpen,False,True,70,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,120_tozero
121_tozero,tozero,closeOpen,False,True,70,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,121_tozero
122_tozero,tozero,closeOpen,False,True,80,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,122_tozero
123_tozero,tozero,closeOpen,False,True,80,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,123_tozero
124_tozero,tozero,closeOpen,False,True,90,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,124_tozero
125_tozero,tozero,closeOpen,False,True,90,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,125_tozero
126_tozero,tozero,closeOpen,False,True,100,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,126_tozero
127_tozero,tozero,closeOpen,False,True,100,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,127_tozero
128_tozero,tozero,closeOpen,False,True,110,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,128_tozero
129_tozero,tozero,closeOpen,False,True,110,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,129_tozero
130_tozero,tozero,closeOpen,False,True,120,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,130_tozero
131_tozero,tozero,closeOpen,False,True,120,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,131_tozero
132_tozero,tozero,closeOpen,False,False,70,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,132_tozero
133_tozero,tozero,closeOpen,False,False,70,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,133_tozero
134_tozero,tozero,closeOpen,False,False,80,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,134_tozero
135_tozero,tozero,closeOpen,False,False,80,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,135_tozero
136_tozero,tozero,closeOpen,False,False,90,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,136_tozero
137_tozero,tozero,closeOpen,False,False,90,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,137_tozero
138_tozero,tozero,closeOpen,False,False,100,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,138_tozero
139_tozero,tozero,closeOpen,False,False,100,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,139_tozero
140_tozero,tozero,closeOpen,False,False,110,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,140_tozero
141_tozero,tozero,closeOpen,False,False,110,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,141_tozero
142_tozero,tozero,closeOpen,False,False,120,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,142_tozero
143_tozero,tozero,closeOpen,False,False,120,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,143_tozero
144_otsu,otsu,closeOpen,True,True,70,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,144_otsu
145_otsu,otsu,closeOpen,True,True,70,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,145_otsu
146_otsu,otsu,closeOpen,True,True,80,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,146_otsu
147_otsu,otsu,closeOpen,True,True,80,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,147_otsu
148_otsu,otsu,closeOpen,True,True,90,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,148_otsu
149_otsu,otsu,closeOpen,True,True,90,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,149_otsu
150_otsu,otsu,closeOpen,True,True,100,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,150_otsu
151_otsu,otsu,closeOpen,True,True,100,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,151_otsu
152_otsu,otsu,closeOpen,True,True,110,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,152_otsu
153_otsu,otsu,closeOpen,True,True,110,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,153_otsu
154_otsu,otsu,closeOpen,True,True,120,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,154_otsu
155_otsu,otsu,closeOpen,True,True,120,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,155_otsu
156_otsu,otsu,closeOpen,True,False,70,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,156_otsu
157_otsu,otsu,closeOpen,True,False,70,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,157_otsu
158_otsu,otsu,closeOpen,True,False,80,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,158_otsu
159_otsu,otsu,closeOpen,True,False,80,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,159_otsu
160_otsu,otsu,closeOpen,True,False,90,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,160_otsu
161_otsu,otsu,closeOpen,True,False,90,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,161_otsu
162_otsu,otsu,closeOpen,True,False,100,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,162_otsu
163_otsu,otsu,closeOpen,True,False,100,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,163_otsu
164_otsu,otsu,closeOpen,True,False,110,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,164_otsu
165_otsu,otsu,closeOpen,True,False,110,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,165_otsu
166_otsu,otsu,closeOpen,True,False,120,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,166_otsu
167_otsu,otsu,closeOpen,True,False,120,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,167_otsu
168_otsu,otsu,closeOpen,False,True,70,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,168_otsu
169_otsu,otsu,closeOpen,False,True,70,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,169_otsu
170_otsu,otsu,closeOpen,False,True,80,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,170_otsu
171_otsu,otsu,closeOpen,False,True,80,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,171_otsu
172_otsu,otsu,closeOpen,False,True,90,130,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,172_otsu
173_otsu,otsu,closeOpen,False,True,90,255,25,2,"{'name': 'closeOpen', 'closing_kernel': array([[1, 1, 1, 1, 1, 1, 1]], dtype=uint8), 'opening_kernel': array([[1, 1, 1, 1, 1]], dtype=uint8), 'closing_iterations': 1, 'opening_iterations': 1}",1.0,173_otsu
